Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
0.0	0.0	0.0	0.0	0.0	0.0
0.1	0.98	0.88	0.89	0.99	0.94
0.2	1.15	1.01	1.08	1.11	1.13
0.3	1.08	1.24	1.23	1.15	1.26
0.4	1.14	1.34	1.26	1.2	1.31
0.5	1.29	1.48	1.24	1.23	1.28
0.6	1.18	1.46	1.39	1.32	1.27
0.7	1.23	1.47	1.27	1.41	1.35
0.8	1.21	1.58	1.2	1.44	1.33
0.9	1.41	1.41	1.34	1.58	1.36
1.0	1.39	1.34	1.58	1.52	1.44
1.1	1.51	1.43	1.76	1.57	1.52
1.2	1.42	1.54	1.64	1.5	1.49
1.3	1.53	1.5	1.79	1.47	1.45
1.4	1.63	1.61	1.8	1.5	1.56
1.5	1.68	1.6	1.94	1.49	1.47
1.6	1.6	1.51	1.71	1.43	1.52
1.7	1.67	1.68	1.98	1.59	1.58
1.8	1.49	1.68	1.74	1.51	1.61
1.9	1.42	1.55	1.77	1.6	1.59
2.0	1.45	1.66	1.84	1.67	1.55
2.1	1.67	1.58	1.96	1.76	1.44
2.2	1.81	1.65	1.81	1.73	1.49
2.3	1.71	1.61	1.96	1.62	1.43
2.4	1.83	1.8	2.06	1.69	1.52
2.5	1.73	1.74	2.05	1.62	1.56
2.6	1.88	1.85	1.9	1.61	1.45
2.7	2.04	1.91	2.05	1.58	1.45
2.8	1.99	1.93	2.1	1.74	1.44
2.9	1.81	1.99	1.98	1.66	1.55
3.0	1.78	1.82	2.14	1.72	1.5
3.1	1.97	1.83	2.04	1.69	1.59
3.2	1.94	2.04	1.87	1.73	1.64
3.3	2.08	2.0	1.87	1.73	1.55
3.4	2.0	2.13	1.84	1.73	1.58
3.5	1.94	2.01	1.72	1.84	1.53
3.6	2.09	1.83	1.85	1.7	1.55
3.7	1.95	1.76	1.66	1.71	1.62
3.8	2.11	1.72	1.8	1.63	1.62
3.9	2.09	1.87	1.77	1.7	1.75
4.0	2.23	1.9	1.61	1.76	1.62
4.1	2.07	1.87	1.71	1.7	1.67
4.2	2.13	1.7	1.85	1.72	1.77
4.3	2.13	1.9	1.92	1.66	1.67
4.4	1.93	1.84	1.93	1.68	1.65
4.5	1.96	1.78	2.08	1.7	1.75
4.6	2.14	1.92	1.96	1.87	1.7
4.7	2.04	1.97	1.89	1.75	1.78
4.8	1.79	2.02	2.01	1.97	1.9
4.9	1.77	1.95	2.0	1.9	1.83
5.0	1.85	2.08	1.87	1.9	1.78
5.1	1.87	2.17	2.02	1.92	1.76
5.2	1.8	2.09	1.94	1.99	1.75
5.3	1.93	2.08	1.68	1.88	1.72
5.4	1.96	2.13	1.74	1.81	1.76
5.5	1.87	2.07	1.81	1.86	1.71
5.6	1.83	2.14	1.74	1.75	1.72
5.7	2.05	2.2	1.78	1.84	1.74
5.8	2.02	2.28	1.74	1.85	1.74
5.9	2.0	2.34	1.8	1.92	1.74
6.0	2.05	2.36	1.83	1.83	1.83
6.1	2.08	2.25	1.78	1.84	1.87
6.2	1.93	2.22	1.88	1.9	1.88
6.3	1.94	2.16	1.91	1.96	1.9
6.4	2.12	2.2	1.75	2.06	1.83
6.5	2.12	2.26	1.74	2.08	1.76
6.6	2.15	2.1	1.84	2.09	1.69
6.7	2.08	2.16	1.7	2.24	1.69
6.8	2.11	2.12	1.8	2.12	1.72
6.9	2.13	2.06	1.89	2.22	1.71
7.0	2.16	2.08	1.88	2.13	1.68
7.1	2.22	2.19	1.86	2.21	1.68
7.2	2.11	2.3	1.85	2.31	1.76
7.3	2.31	2.16	1.89	2.28	1.84
7.4	2.26	2.46	2.04	2.35	1.89
7.5	2.25	2.51	2.06	2.25	1.73
7.6	2.08	2.54	2.01	2.16	1.85
7.7	2.23	2.48	2.11	2.08	1.95
7.8	2.31	2.51	1.88	1.86	1.88
7.9	2.08	2.28	1.89	1.88	1.85
8.0	2.02	2.29	2.18	1.81	2.0
8.1	1.98	2.31	2.06	1.86	1.99
8.2	2.13	2.24	1.99	1.95	2.14
