Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
0.0	0.0	0.0	0.0	0.0	0.0
0.1	0.72	0.65	0.42	0.35	0.79
0.2	0.56	0.31	0.8	0.67	0.26
0.3	1.13	0.93	0.8	0.45	0.19
0.4	0.88	0.39	0.65	0.74	0.27
0.5	0.86	0.67	0.75	0.41	0.75
0.6	0.81	0.83	0.86	0.42	0.33
0.7	0.99	0.9	0.87	0.43	0.27
0.8	0.99	0.82	0.6	0.37	0.35
0.9	1.09	0.76	0.5	0.35	0.26
1.0	0.93	0.86	0.61	0.87	0.38
1.1	1.05	0.86	0.69	0.91	0.32
1.2	0.95	0.74	0.81	0.55	0.56
1.3	1.02	0.73	0.9	0.27	0.76
1.4	0.97	0.63	0.81	0.36	0.47
1.5	0.97	0.83	1.02	1.04	0.86
1.6	1.04	0.9	0.79	1.04	0.49
1.7	1.03	0.68	0.65	0.77	0.22
1.8	1.0	0.68	0.51	0.89	0.92
1.9	1.0	0.85	0.45	0.87	0.36
2.0	1.04	0.69	0.45	0.78	0.78
2.1	1.1	0.69	0.39	0.95	0.83
2.2	1.02	0.68	0.45	1.04	0.55
2.3	1.0	0.67	0.81	0.92	0.38
2.4	1.01	0.7	0.62	0.89	0.86
2.5	0.79	0.67	0.7	0.84	0.47
2.6	1.07	0.65	0.76	0.94	0.53
2.7	1.16	0.65	0.69	0.94	0.48
2.8	0.99	0.5	0.73	1.01	0.31
2.9	1.0	0.74	0.44	0.89	0.42
3.0	0.93	0.69	0.45	0.99	0.71
3.1	0.89	0.54	0.42	0.98	0.74
3.2	1.01	0.78	0.45	0.91	0.73
3.3	0.87	0.78	0.38	0.76	0.39
3.4	0.8	0.68	0.39	0.95	0.44
3.5	0.91	0.6	0.41	0.88	0.64
3.6	0.82	0.69	0.43	0.83	0.89
3.7	0.88	0.6	0.42	0.77	0.85
3.8	0.82	0.65	0.72	1.0	0.93
