Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
0.0	0.0	0.0	0.0	0.0	0.0
0.1	1.05	0.98	1.11	1.0	0.97
0.2	1.36	1.3	1.53	1.14	1.35
0.3	1.5	1.47	1.48	1.31	1.19
0.4	1.49	1.49	1.54	1.21	1.39
0.5	1.67	1.61	1.47	1.38	1.4
0.6	1.43	1.61	1.51	1.3	1.58
0.7	1.72	1.59	1.67	1.45	1.46
0.8	1.85	1.72	1.79	1.35	1.64
0.9	1.85	1.7	1.56	1.54	1.67
1.0	2.05	1.7	1.66	1.71	1.72
1.1	1.99	1.94	1.62	1.63	1.67
1.2	1.89	1.87	1.66	1.51	1.69
1.3	2.15	1.99	1.55	1.66	1.94
1.4	2.28	1.96	1.75	1.73	2.09
1.5	2.47	2.21	1.62	1.91	2.23
1.6	2.09	2.2	1.74	2.22	2.1
1.7	2.44	2.42	1.88	1.95	2.22
1.8	2.42	2.46	1.79	2.0	2.28
1.9	2.36	2.87	1.77	1.81	2.57
2.0	2.58	2.65	1.79	1.95	2.64
2.1	2.48	2.88	1.79	2.05	2.62
2.2	2.61	2.76	1.7	2.07	2.26
2.3	2.28	2.66	1.89	2.2	2.36
2.4	2.53	2.54	1.9	1.98	2.55
2.5	2.59	2.66	1.96	2.09	2.37
2.6	2.68	2.45	2.0	2.31	2.44
2.7	2.65	2.56	1.92	2.36	2.44
2.8	2.68	2.49	2.09	2.44	2.56
2.9	2.79	2.55	2.24	2.5	2.74
3.0	2.87	2.23	2.19	2.56	2.73
3.1	2.68	2.1	2.17	2.58	2.64
3.2	2.97	2.4	2.18	2.6	2.72
3.3	2.93	2.52	2.28	2.46	2.92
3.4	3.13	2.49	2.43	2.61	2.91
3.5	3.15	2.64	2.54	2.87	3.24
3.6	3.0	2.82	2.44	2.88	2.97
3.7	3.0	2.76	2.47	2.77	2.9
3.8	2.81	2.54	2.39	2.77	3.02
3.9	2.8	2.35	2.52	2.78	3.0
4.0	2.9	2.25	2.44	2.57	3.11
4.1	2.97	2.18	2.64	2.45	2.81
4.2	2.83	2.22	2.65	2.67	3.03
4.3	2.78	2.33	2.72	2.69	3.0
4.4	2.93	2.01	2.71	2.62	2.98
4.5	3.28	2.03	2.64	2.36	3.18
4.6	3.15	2.01	2.79	2.23	3.1
4.7	3.29	2.13	2.83	2.11	3.03
4.8	3.27	2.16	2.73	2.09	3.26
4.9	3.33	2.19	2.71	2.12	3.25
5.0	3.6	2.28	2.87	2.11	3.2
5.1	3.78	2.23	2.72	2.17	3.38
5.2	3.63	2.33	2.98	2.09	3.12
5.3	3.67	2.2	2.79	2.14	3.17
5.4	3.59	2.21	3.08	2.25	3.05
5.5	3.52	2.27	3.07	2.22	3.0
5.6	3.57	2.23	2.69	2.29	2.94
5.7	3.56	2.21	2.47	2.17	2.98
5.8	3.55	2.22	2.51	2.26	2.99
5.9	3.47	2.42	2.63	2.36	2.72
6.0	3.62	2.17	2.58	2.27	2.72
6.1	3.76	2.14	2.44	2.23	2.86
6.2	3.45	2.39	2.46	2.21	3.18
6.3	3.38	2.35	2.6	2.21	2.99
6.4	3.6	2.29	2.54	2.15	3.04
6.5	3.66	2.36	2.53	2.28	3.11
6.6	3.46	2.2	2.65	2.23	3.16
6.7	3.66	2.49	2.57	2.36	3.06
6.8	3.75	2.17	2.31	2.36	2.7
6.9	3.54	2.28	2.24	2.31	2.68
7.0	3.69	2.22	2.23	2.26	2.7
7.1	4.02	2.26	2.33	2.4	2.72
7.2	3.68	2.12	2.21	2.38	2.83
7.3	3.34	2.16	2.2	2.3	2.62
7.4	3.33	2.16	2.17	2.28	2.44
7.5	3.29	2.1	2.32	2.42	2.45
7.6	3.29	2.07	2.38	2.5	2.63
7.7	3.52	2.08	2.45	2.18	2.67
