Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
0.0	0.0	0.0	0.0	0.0	0.0
0.1	1.19	1.09	1.02	0.92	1.06
0.2	1.41	1.28	1.23	1.08	1.11
0.3	1.62	1.31	1.28	1.31	1.18
0.4	1.61	1.26	1.27	1.3	1.31
0.5	1.91	1.47	1.43	1.42	1.38
0.6	2.23	1.45	1.41	1.46	1.38
0.7	2.12	1.45	1.63	1.49	1.35
0.8	2.06	1.45	1.75	1.41	1.28
0.9	1.97	1.56	1.87	1.47	1.37
1.0	2.04	1.61	1.94	1.55	1.46
1.1	2.1	1.66	1.98	1.66	1.66
1.2	2.07	1.63	1.81	1.64	1.47
1.3	1.98	1.71	1.76	1.63	1.66
1.4	1.99	1.65	2.06	1.7	1.69
1.5	2.07	1.8	2.09	1.77	1.73
1.6	2.32	1.81	2.13	1.71	1.79
1.7	2.16	1.83	2.12	1.74	1.72
1.8	2.29	1.9	2.07	1.69	1.74
1.9	2.27	2.13	2.21	1.81	1.9
2.0	2.23	1.98	2.26	1.76	1.83
2.1	2.31	2.1	2.16	1.74	1.94
2.2	2.21	2.22	2.1	1.71	1.84
2.3	1.99	2.16	2.07	1.74	1.66
2.4	2.2	2.11	2.3	1.66	1.84
2.5	2.35	2.39	2.13	1.86	1.92
2.6	2.27	2.38	2.12	1.68	1.84
2.7	2.19	2.28	2.17	1.62	1.83
2.8	2.37	2.25	2.33	1.65	1.85
2.9	2.5	2.21	2.23	1.78	1.92
3.0	2.57	2.06	2.28	1.95	2.01
3.1	2.51	2.14	2.39	1.99	1.84
3.2	2.26	2.23	2.37	2.09	1.92
3.3	2.36	2.06	2.42	2.02	2.01
3.4	2.44	2.0	2.57	1.96	1.92
3.5	2.56	1.88	2.64	2.03	1.89
3.6	2.47	1.82	2.57	1.97	1.82
3.7	2.64	2.0	2.57	2.04	1.68
3.8	2.81	1.94	2.8	2.17	1.76
3.9	2.65	1.76	2.83	1.98	1.76
4.0	2.56	1.88	2.9	2.02	1.85
4.1	2.61	1.87	2.8	1.89	1.86
4.2	2.53	1.9	2.65	1.96	1.93
4.3	2.42	1.92	2.7	1.8	1.9
4.4	2.22	2.07	2.62	1.91	1.96
4.5	2.02	2.11	2.63	1.93	1.96
4.6	2.35	2.09	2.56	1.99	2.09
4.7	2.19	2.12	2.85	1.96	2.04
4.8	2.2	2.14	2.85	1.82	2.0
4.9	2.1	2.17	2.86	1.93	2.24
5.0	2.33	2.19	2.71	1.75	2.17
5.1	2.29	2.38	2.84	1.68	2.05
5.2	2.47	2.33	2.75	1.94	2.24
5.3	2.82	2.23	2.61	1.93	2.1
5.4	2.75	2.14	2.5	1.86	2.06
5.5	2.69	2.12	2.27	1.86	2.1
5.6	2.54	2.21	2.35	1.94	2.01
5.7	2.51	2.11	2.73	1.99	1.89
5.8	2.4	2.18	2.51	1.96	1.97
5.9	2.78	2.09	2.71	1.91	1.99
6.0	2.69	2.32	2.43	1.88	2.12
6.1	2.5	2.28	2.77	1.9	2.0
6.2	2.41	2.26	2.77	1.85	1.9
6.3	2.55	2.03	2.74	1.88	1.91
6.4	2.56	2.0	2.65	2.07	1.94
6.5	2.4	1.97	2.52	1.97	1.99
6.6	2.48	2.02	2.55	1.93	1.98
6.7	2.6	2.0	2.88	1.81	2.01
6.8	2.46	2.2	2.82	1.93	2.02
6.9	2.67	2.24	2.75	1.89	1.98
7.0	2.73	2.32	2.76	2.09	1.85
7.1	2.77	2.25	2.66	1.93	2.05
7.2	2.56	2.35	2.93	1.97	2.2
7.3	2.44	2.26	2.69	1.99	2.16
7.4	2.67	2.21	2.44	1.76	2.24
7.5	2.54	2.29	2.69	1.75	2.29
7.6	2.57	2.02	2.85	1.92	2.29
7.7	2.86	2.09	3.06	1.8	2.38
7.8	2.63	2.06	3.15	1.93	2.4
7.9	2.91	1.99	3.33	1.93	2.43
8.0	2.86	2.18	3.41	1.91	2.19
8.1	2.8	2.08	3.28	1.93	2.3
8.2	2.7	2.03	3.24	1.98	2.32
8.3	2.69	2.11	2.96	2.08	2.26
8.4	2.58	2.22	2.85	2.0	2.55
8.5	2.44	2.29	3.06	2.0	2.58
8.6	2.5	2.26	2.78	1.98	2.77
8.7	2.31	2.54	2.89	2.05	2.69
8.8	2.22	2.75	2.79	1.94	2.69
8.9	2.33	2.32	2.93	2.06	2.54
9.0	2.32	2.4	2.93	2.03	2.43
9.1	2.26	2.27	3.02	2.04	2.26
9.2	2.43	2.37	3.2	2.07	2.17
9.3	2.31	2.5	3.07	2.15	2.32
9.4	2.64	2.41	3.2	2.19	2.3
9.5	2.47	2.37	3.24	2.05	2.56
9.6	2.5	2.34	3.44	2.18	2.65
9.7	2.5	2.27	3.55	2.13	2.6
9.8	2.33	2.3	3.35	2.15	2.44
9.9	2.32	2.38	3.44	2.14	2.5
10.0	2.37	2.39	3.34	2.07	2.5
10.1	2.26	2.53	3.26	2.01	2.38
10.2	2.21	2.58	2.98	2.09	2.47
10.3	2.33	2.25	2.79	2.11	2.57
10.4	2.24	2.33	3.08	2.22	2.7
10.5	2.23	2.49	3.03	2.24	2.61
10.6	2.22	2.35	3.08	2.34	2.43
10.7	2.24	2.06	2.99	2.22	2.48
10.8	2.23	2.16	2.97	2.32	2.33
10.9	2.22	2.2	3.01	2.45	2.33
11.0	2.29	2.32	3.33	2.57	2.22
11.1	2.32	2.24	2.82	2.54	2.3
11.2	2.39	2.3	2.95	2.54	2.36
11.3	2.71	2.29	2.88	2.24	2.37
11.4	2.47	2.25	3.16	2.59	2.24
11.5	2.35	2.34	3.39	2.41	2.48
11.6	2.26	2.45	3.05	2.25	2.38
11.7	2.3	2.43	2.91	2.18	2.39
11.8	2.38	2.47	2.9	2.28	2.35
11.9	2.56	2.45	2.67	2.43	2.27
12.0	2.61	2.54	2.87	2.58	2.32
12.1	2.56	2.5	3.06	2.51	2.46
12.2	2.6	2.39	3.06	2.41	2.52
12.3	2.65	2.5	2.94	2.48	2.55
12.4	2.4	2.57	2.96	2.41	2.59
12.5	2.27	2.44	2.81	2.08	2.41
12.6	2.4	2.22	2.98	2.26	2.49
12.7	2.13	2.19	2.66	2.35	2.47
12.8	2.21	2.23	2.55	2.31	2.57
12.9	2.23	2.26	2.61	2.26	2.57
13.0	2.25	2.48	2.67	2.42	2.47
13.1	2.32	2.41	2.98	2.38	2.61
