Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
0.0	0.0	0.0	0.0	0.0	0.0
0.1	0.32	0.82	0.27	0.43	0.41
0.2	0.32	0.4	0.47	0.46	0.48
0.3	0.32	0.37	0.2	0.53	0.42
0.4	0.33	0.79	0.38	0.44	0.59
0.5	0.29	0.75	0.26	0.55	0.58
0.6	0.41	0.83	0.15	0.55	0.39
0.7	0.43	0.83	0.29	0.4	0.42
0.8	0.54	0.5	0.25	0.53	0.8
0.9	0.39	0.54	0.28	0.57	0.73
1.0	0.37	0.69	0.19	0.51	0.78
1.1	0.4	0.59	0.18	0.48	0.81
1.2	0.45	0.54	0.53	0.54	0.72
1.3	0.31	0.52	0.81	0.5	0.8
1.4	0.37	0.57	0.47	0.5	0.76
1.5	0.74	0.61	0.54	0.5	0.82
1.6	0.85	0.61	0.59	0.42	0.88
1.7	0.32	0.52	0.9	0.5	0.81
1.8	0.43	0.58	0.85	0.5	0.71
1.9	0.41	0.58	0.86	0.6	0.77
2.0	0.28	0.47	0.82	0.57	0.8
2.1	0.32	0.55	0.88	0.5	0.78
2.2	0.4	0.67	0.83	0.55	0.82
2.3	0.45	0.61	0.86	0.74	0.83
2.4	0.23	0.57	0.85	0.7	0.8
2.5	0.21	0.61	0.82	0.76	0.77
2.6	0.33	0.62	0.81	0.76	0.69
2.7	0.3	0.52	0.85	0.72	0.69
2.8	0.3	0.56	0.8	0.78	0.67
2.9	0.37	0.56	0.84	0.76	0.69
3.0	0.23	0.57	0.83	0.75	0.83
3.1	0.52	0.57	0.79	0.75	0.67
3.2	0.45	0.69	0.83	0.75	0.37
3.3	0.62	0.61	0.89	0.74	0.36
3.4	0.66	0.57	0.87	0.75	0.35
3.5	0.68	0.74	0.85	0.85	0.34
3.6	0.61	0.53	0.8	0.74	0.38
3.7	0.67	0.52	0.88	0.72	0.74
3.8	0.75	0.53	0.85	0.73	0.72
3.9	0.63	0.55	0.85	0.74	0.71
4.0	0.72	0.41	0.74	0.72	0.78
4.1	0.71	0.85	0.85	0.74	0.8
4.2	0.69	0.85	0.82	0.75	0.86
4.3	0.7	1.0	0.85	0.74	0.8
4.4	0.54	0.87	0.75	0.74	0.79
4.5	0.57	0.86	0.89	0.78	0.77
4.6	0.53	0.82	0.85	0.98	0.78
4.7	0.55	0.86	0.87	0.72	0.69
4.8	0.66	0.84	0.87	0.75	0.81
4.9	0.68	0.86	0.83	0.76	0.84
5.0	0.69	0.84	0.84	0.71	0.8
5.1	0.7	0.87	0.84	0.71	0.77
5.2	0.62	0.88	0.88	0.73	0.8
5.3	0.55	0.83	0.89	0.75	0.8
5.4	0.51	0.91	0.87	0.8	0.74
5.5	0.67	0.8	0.87	0.77	0.73
5.6	0.57	0.82	0.84	0.76	0.8
5.7	0.58	0.87	0.85	0.76	0.79
5.8	0.64	0.81	0.9	0.72	0.8
5.9	0.78	0.92	0.84	0.73	0.82
6.0	0.62	0.86	0.87	0.76	0.75
6.1	0.63	0.8	0.83	0.71	0.73
6.2	0.68	0.86	0.91	0.74	0.73
6.3	0.64	0.85	0.9	0.74	0.77
6.4	0.89	0.83	0.83	0.71	0.74
6.5	0.6	0.86	0.85	0.75	0.73
6.6	0.69	0.87	0.76	0.75	0.81
6.7	0.59	0.82	0.82	0.74	0.84
6.8	0.79	0.84	0.86	0.71	0.81
6.9	0.65	0.83	0.86	0.74	0.75
7.0	0.79	0.85	0.88	0.73	0.73
7.1	0.76	0.92	0.86	0.7	0.75
7.2	0.84	0.82	0.9	0.74	0.79
7.3	0.77	0.87	0.87	0.81	0.69
7.4	0.44	0.86	0.76	0.76	0.73
7.5	0.47	0.84	0.8	0.71	0.78
7.6	0.32	0.87	0.61	0.78	0.8
7.7	0.31	0.88	0.56	0.72	0.88
7.8	0.33	0.89	0.57	0.73	0.74
7.9	0.71	0.86	0.73	0.74	0.78
8.0	0.41	1.02	0.74	0.75	0.89
8.1	0.28	0.87	0.52	0.8	0.76
8.2	0.39	0.83	0.59	0.53	0.85
8.3	0.76	0.9	0.56	0.79	0.61
8.4	0.76	0.92	0.73	0.72	0.82
8.5	0.78	0.83	0.69	0.74	0.82
8.6	0.76	0.79	0.65	0.74	0.77
8.7	0.77	0.85	0.42	0.82	0.76
8.8	0.56	0.83	0.61	0.7	0.71
8.9	0.54	0.87	0.66	0.75	0.68
9.0	0.57	0.85	0.58	0.78	0.83
9.1	0.55	0.82	0.74	0.8	0.78
9.2	0.62	0.88	0.6	0.75	0.74
9.3	0.71	0.82	0.6	0.74	0.81
9.4	0.75	0.81	0.62	0.75	0.8
